Rank,Horror,Thriller,Adventure,Children's,Crime,Action,Animation,Western,Romance,Drama,Film-Noir,Fantasy,War,Mystery,Comedy,Sci-Fi,Musical,Documentary
1,1278,745,2905,919,858,2905,745,3030,912,53,922,260,527,904,745,260,899,3338
2,1219,50,1198,3114,50,2019,1148,1304,3307,2503,3435,1097,1178,1212,1148,750,919,128
3,1214,904,260,1,3435,858,720,1283,1197,2019,913,247,750,913,3030,2571,1288,1147
4,1258,1212,1204,2761,1221,1198,1223,1201,898,318,1252,1073,912,1252,3307,1196,1066,3679
5,1387,2762,1262,1023,1234,260,3429,1266,930,858,1267,2797,1204,1284,3022,541,914,363
6,1348,908,3470,1097,1260,1221,3114,599,1172,527,1284,2138,1250,903,1223,1214,945,1189
7,2648,593,1197,1282,910,2028,3000,3365,899,1178,2186,2872,1262,3730,3429,1240,2300,2859
8,1997,1252,1196,1028,296,2571,1,3671,969,1207,1260,3920,3134,950,1136,1253,1947,556
9,2664,1267,1254,34,1213,1197,741,3037,1247,912,930,1019,2028,3801,3410,1200,2565,3077
10,1340,2571,969,595,1945,1233,2761,3508,2692,670,541,2968,1233,1617,2324,1199,3606,1361
